,0,
metabolism,1,getting older
getting older,2,getting older
sleep,3,getting older
blaming mom,4,getting older
hoarding,5,getting older
hpv,6,getting older
men and hpv,7,getting older
self help,8,getting older
marriage,9,marriage
hipsters,10,marriage
dating losers,11,marriage
homeless,12,marriage
asian husband,13,marriage
met husband,14,marriage
hooking up,15,marriage
white guy,16,marriage
korean,17,marriage
cuban,18,marriage
racist,19,marriage
sexiest,20,marriage
hair,21,marriage
odor,22,marriage
vietnamese,23,marriage
white people,24,marriage
engagement,25,marriage
trap partner,26,working
proposing,27,working
pinterest,28,working
dress,29,working
dependent,30,working
lay down,31,working
play dumb,32,working
feminism,33,working
options,34,working
housewives,35,working
muffle,36,poop
coworkers,37,poop
father-in-law,38,working
diet,39,working
porn,40,sex
anal,41,sex
craigslist,42,sex
brag,43,sex
sex experimentation,44,sex
strong women,45,sex
control,46,working
bossy,47,working
male comics,48,working
double standard,49,pregnancy
mom,50,pregnancy
stay at home,51,pregnancy
preganancy,52,pregnancy
asian women,53,pregnancy
bad drivers,54,pregnancy
support,55,pregnancy
recycle,56,pregnancy
wet,57,pregnancy
smell fingers,58,pregnancy
clinical sex,59,sex
closing eyes,60,sex
orgasm,61,sex
conception,62,working
doctor,63,working
miscarriage,64,miscarriage
husband watches,65,miscarriage
relationship leverage,66,working
poop,67,poop
berate,68,working
conclusion,69,working
debt,70,working